time,x,y,ignited,willignite,simtime,ignitionTime,sigma,spreadDir,rateOfSpread
2025-07-01 10:30:00,470720,5087010,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470715,5087000,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470720,5086990,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470710,5087030,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470705,5087020,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470680,5087030,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470675,5087020,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470670,5087030,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470680,5087010,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470695,5087020,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470700,5087010,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470720,5087030,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470685,5087020,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470690,5087010,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470715,5087020,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470690,5087030,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470705,5087000,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470700,5087030,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470710,5087010,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470665,5087020,1,0,0,inf,0,0,0
2025-07-01 10:30:00,470720,5087010,1,0,0,inf,inf,0,0
2025-07-01 10:30:00,470715,5087000,1,0,0,inf,inf,0,0
2025-07-01 10:30:00,470720,5086990,1,0,0,inf,inf,0,0
2025-07-01 10:30:00,470710,5087030,1,0,0,inf,inf,0,0
2025-07-01 10:30:00,470710,5086990,0,1,0,801.534,801.534,270,0.0124761
2025-07-01 10:30:00,470685,5087000,0,1,0,7475.27,7475.27,153,0.00149564
2025-07-01 10:30:00,470705,5087020,1,0,0,inf,inf,0,0
2025-07-01 10:30:00,470680,5087030,1,0,0,inf,inf,0,0
2025-07-01 10:30:00,470675,5087020,1,0,0,inf,inf,0,0
2025-07-01 10:30:00,470670,5087030,1,0,0,inf,inf,0,0
